segmentation,commodities,sub_commodities,weeks
Asian Cuisine,ASIAN FOODS|FROZEN AUTHENTIC ASIAN|FROZEN AUTHENTIC INDIAN|INDIAN FOODS|NF NATURAL ASIAN FOODS|REFRIGERATED ASIAN,,52
Fitness Enthusiast,ATHLETICS|EXERCISE|SPORTS NUTRITION|WOMENS ATHLETIC|JR SPORTWEAR TOPS|CHILDRENS ATHLETIC,PERSONALITY/LIFESTYLE - MAGAZINES|PERSONALITY/LIFESTYLE - MAGAZI|MENS-MAGAZINE|WOMENS - MAGAZINE,52
Hispanic Cuisine,AUTH CENTRAL AMER FOODS|AUTHENTIC HISPANIC FDS&PRODUCT|FROZEN HISPANIC|MEXICAN TORTILLA/WRAP/TOSTADA|NF MEXICAN PRODUCTS|REFRIGERATED HISPANIC GROCERY|TRADITIONAL MEXICAN FOODS,HISPANIC BEER,52
Baker,BAKERY PARTY TRAYS|BAKEWARE|BAKING MIXES|BAKING NEEDS|NF BAKING NEEDS,,52
Outdoor Décor + Gardening,BIRD/SQRL|DECORATIVE GARDEN|FERNS (OUTDOOR)|FERTILIZERS|FOLIAGE (OUTDOOR)|GARDEN BAGGED GOODS|HANGING BASKETS (OUTDOOR)|HARD GOODS (OUTDOOR)|HARDY MUMS (OUTDOOR)|OUTDOOR LIVING|PERENNIALS (OUTDOOR)|PLANT CARE&SOIL (OUTDOOR)|PLANTERS/ACCESSORIES|SEED/BULBS (OUTDOOR)|TREES/SHRUBS (OUTDOOR)|WATERING|YARD DECOR|ANNUALS (OUTDOOR),,52
Indoor Décor + Gardening,EASTER LILY|FLORAL - FOLIAGE PLANTS|FLORAL - FLOWING PLANTS|ORCHIDS POTTED|POINSETTIA|POTTED BULBS (INDOOR),,52
Reader,BOOKSTORE|MAGAZINES|NEWSPAPER,,52
Camper,CAMPING|FISHING|HUNTING,OUTDOORS-MAGAZINE,52
Summer BBQ,GRILLS,CHARCOAL,52
Christmas,CHRISTMAS|CHRISTMAS TREES (OUTDOOR)|CHRISTMAS GREENS (OUTDOOR),CHRISTMAS PLUSH,52
Smokers,CIGARETTES|CIGARS|ELECTRONIC CIGARETTES|LEAF TOBACCO|LITTLE CIGARS|MOIST SNUFF|PIPE TOBACCO|SMOKING TOBACCO,,52
Artsy Folk,CRAFTS/NOTIONS/YARN,RECREATION/HOBBY - MAGAZINES|HOME/CRAFTS - MAGAZINES,52
Halloweeners,HALLOWEEN,HALLOWEEN PLUSH,52
Bug Phobes,INSECTICIDES,,52
Back-to-School,SCHOOL,,52
Sexual Health,SEXUAL HEALTH & WELLNESS,,52
Easter,EASTER,EASTER PLUSH,52
Pizza Meal Households,FROZEN PIZZA|NF FROZEN PIZZA|READY TO HEAT PIZZA|NF PIZZA SAUCE/CRUST MIX|PIZZA SAUCE/CRUST/MIX,,52
Convenient Breakfast,CNV BREAKFAST&WHOLESOME SNKS|NF CEREAL BARS,INSTANT BREAKFAST|INSTANT OATMEAL,52
Breakfast Buyers,REF BREAKFAST|BREAKFAST SAUSAGE|NF FROZEN BREAKFAST|FROZEN BREAKFAST FOODS|CEREALS|COLD CEREAL|NF CEREALS,GRITS|STANDARD OATMEAL|OTHER HOT CEREAL,52
Salty Snackers,BAG SNACKS|SNACKS|SS/VENDING - SALTY SNACKS|TRAIL MIX & SNACKS|WAREHOUSE SNACKS|NF SNACK,,52
Meat Snackers,MEAT SNACKS|SNACK MEAT,,52
Fruit and Natural Snackers,FRUIT SNACKS|NF FRUIT SNACKS|NF PACKAGED NATURAL SNACK,,52
Beveragist,SINGLE SERVE BEVERAGE|SOFT DRINKS|SPECIALTY SOFT DRINKS,,52
Natural Beveragist,NF REFRIG FUNCTIONAL BEV,,52
Beverage Enchancers,BEVERAGE ENHANCERS,,52
Energy Beveragist,ENERGY DRINKS|NF ENERGY DRINKS,ENERGY DRINKS,52
Juicing Beveragust,FROZEN JUICE|REFRGRATD JUICES/DRINKS|SHELF STABLE JUICE|NF JUICE,,52
Isotonic Beveragist,ISOTONIC DRINKS,FITNESS ISOTONIC DRINKS,52
Houses With Children,CHILDRENS ATHLETIC|CHILDRENS CASUALS|KIDS BATH SHOP|SEASONAL KIDS,CHILDRENS LOW END|CHILDRENS QUALITY|CHILDRENS VALUE|CHILDREN S ACTIVITY|CHILDREN'S ACTIVITY|CHILDRENS RAINBOOTS|CHILDRENS SANDAL 11-4|CHILDRENS NIKE|CHILDRENS UA|CHILDRENS SKECHERS|NUT SUPP-CHILDREN|TEENS/CHILDREN - MAGAZINES|KIDS MILK DRINKS-ASEPTIC|FZ KIDS MEAL|KIDS|KIDS FLIP FLOPS|KIDS BEDDINGS|SUNGLASSES KIDS|KIDS YOGURT|NAT/ORGNC KIDS YOGURT,52
Houses With Toddlers,TODDLER/BOYS|TODDLER/GIRLS,TRAINING PANTS|YOUTH PANTS|TODDLER BOY SLEEPWEAR|TODDLER GIRL SLEEPWEAR|TODDLER WIPES,52
Beautists,BEAUTY MINIS|MULTI-CULTURAL HEALTH & BEAUTY|NF COSMETICS|NAILCARE/LASH/COTTON|COLOR COSMETICS|HAIR COLOR AND DEVELOPERS,BEAUTY SUPPLEMENTS|NF COLLAGEN/BEAUTY,52
Geriatric,ADULT INCONTINENCE|ADULT NUTRITION,,52
Organic,NF ORGANIC MILK|ORGANIC BEEF|ORGANIC CHICKEN|ORGANIC FRUIT & VEGETABLES|ORGANIC TURKEY|PORK ORGANIC,APPLES AMBROSIA ORGANIC|APPLES CRIPPS PINK ORGANIC|APPLES ENVY ORGANIC|APPLES FUJI (BULK&BAG) ORGANIC|APPLES GALA (BULK&BAG) ORGANIC|APPLES GOLD DEL BULK/BAG ORGANIC|APPLES GRNY SMTH BULK/BAG ORGANIC|APPLES HONEYCRISP ORGANIC|APPLES JAZZ ORGANIC|APPLES OTHER (BULK&BAG) ORGANIC|APPLES RED DELICIOUS (BULK&BAG) ORGANIC|BACON - NATURAL/ORGANIC|BANANAS ORGANIC|BERRIES OTHER ORGANIC|BLACKBERRIES ORGANIC|BLUEBERRIES ORGANIC|CRANBERRIES ORGANIC|RASPBERRIES ORGANIC|STRAWBERRIES ORGANIC|BREAD:DIET/ORGANIC|BROCCOLI WHOLE & CROWNS ORGANIC|CAULIFLOWER WHOLE ORGANIC|DRESSING ORGANICS|ORGANIC MILK|FRESH DINNER SAUSAGE NATURAL/ORGANIC|FRZN ORGANIC VEGETABLES|FRUIT/VEGETABLE/HERB ORGANIC (|FRUIT/VEGETABLE/HERB ORGANIC (OUTDOOR)|FRZN MEAT - NATURAL/ORGANIC|CANTALOUPE WHOLE ORGANIC|HONEYDEW WHOLE ORGANIC|MELONS WHOLE OTHER ORGANIC|WATERMELON PERSONAL ORGANIC|WATERMELON SEEDLESS WHOLE ORGANIC|MUSHROOM PORTABELLA ORGANIC|MUSHROOMS OTHERS ORGANIC|MUSHROOMS WHITE SLICED ORGANIC|MUSHROOMS WHITE WHOLE PKG ORGANIC|DRIED FRUIT OTHER ORGANIC|ROLLS: DIET/ORGANIC|SALAD BOWLS ORGANIC|SALAD MIX BLENDS ORGANIC|SALAD MIX KITS ORGANIC|SALAD SPINACH ORGANIC|SQUASH OTHER ORGANIC|SALAD BAR ORGANIC|DINNER SAUSAGE NATURAL/ORGANIC|GARLIC JAR ORGANIC|HERBS DRIED ORGANIC|SPICES & SEASONINGS ORGANIC|APRICOTS ORGANIC|CHERRIES ORGANIC|NECTARINES WHITE FLESH ORGANIC|NECTARINES YELLOW FLESH ORGANIC|PEACHES WHITE FLESH ORGANIC|PEACHES YELLOW FLESH ORGANIC|PLUMS ORGANIC|PLUOTS ORGANIC|STONE FRUIT OTHER ORGANIC|TOMATOES CHERRY ORGANIC|TOMATOES GRAPE ORGANIC|TOMATOES OTHERS ORGANIC|TOMATOES RED HH ORGANIC|TOMATOES RED OTV ORGANIC|TOMATOES ROMA ORGANIC|AVOCADO ORGANIC|KIWI FRUIT ORGANIC|MANGO ORGANIC|PINEAPPLE WHOLE&PEEL/CORED ORGANIC|POMEGRANATES ORGANIC|TROPICAL FRUIT OTHER ORGANIC|ORGANIC|ORGANIC FRUIT/VEG INSTORE PROC|ORGANIC FRUIT/VEG INSTORE PROCESSED|ASPARAGUS ORGANIC|BEANS ORGANIC|CABBAGE ORGANIC|CELERY ORGANIC|GREENS BULK ORGANIC|HARD SQUASH ORGANIC|ORGANIC VEGETABLES ALL OTHERS|YELLOW SUMMER SQUASH ORGANIC|ZUCCHINI ORGANIC|GREENS PACKAGED ORGANIC|ORGANIC VALUE ADDED VEGETABLES|VEGETABLES COOKING PACKAGED ORGANIC|CUCUMBERS ORGANIC|GREEN ONIONS ORGANIC|HEAD LETTUCE ORGANIC|RADISHES ORGANIC|SPINACH ORGANIC|VARIETY LETTUCE ORGANIC|WET CAT FOOD - ORGANIC/NATURAL|WET DOG FOOD - ORGANIC/NATURAL|CARROTS BAGGED ORGANIC|CARROTS BULK ORGANIC|CARROTS MINI PEELED ORGANIC|CITRUS OTHER ORGANIC|CLEMENTINES ORGANIC|GRAPEFRUIT ORGANIC|LEMONS ORGANIC|LIMES ORGANIC|ORANGES NAVELS ALL ORGANIC|ORANGES NON NAVEL ALL ORGANIC|TANGERINES & TANGELOS ORGANIC|CORN ORGANIC|YARD ORGANICS|GRAPES BLACK/BLUE ORGANIC|GRAPES OTHER ORGANIC|GRAPES RED GLOBE ORGANIC|GRAPES RED ORGANIC|GRAPES WHITE ORGANIC|GARLIC WHOLE CLOVES ORGANIC|HERBS BULK ORGANIC|HERBS FRESH OTHER ORGANIC|HERBS ORGANIC PACKAGED|HERBS PARSLEY ORGANIC|JUICE FRT & VEG BLENDS ORGANIC|JUICE FRT & VEG BLENDS ORGANIC (OVER 50% JCE|JUICE FRT OR VEG 100% ORGANIC|JUICE FRT OR VEG 100% ORGANIC (OVER 50% JUIC|JUICES ORGANIC (OVER 50% JUICE|ORGANIC|LUNCHMEAT - NATURAL/ORGANIC|ORGANIC MILK|NF ORGANIC PASTA SAUCE|ORGANIC COFFEE & TEA|ORGANIC JUICE ALL OTHER|ORGANIC LEMONADE|ORGANIC ORANGE JUICE|ORGANIC SALAD MIX|NF ORGANIC SALAD DRESSING|ORGANIC MULTI SERVE/PACK YOGUR|ORGANIC MULTI SERVE/PACK YOGURT|ORGANIC SS YOGURT|NUTS OTHER ORGANIC|ORGANIC OLIVE OIL|ONIONS OTHER ORGANIC|ONIONS RED (BULK&BAG) ORGANIC|ONIONS SWEET ORGANIC|ONIONS YELLOW (BULK&BAG) ORGANIC|BLUEBERRIES ORGANIC|HERBS FRESH OTHER ORGANIC|SQUASH OTHER ORGANIC|PEARS ANJOU ORGANIC|PEARS ASIAN ORGANIC|PEARS BARTLETT ORGANIC|PEARS BOSC ORGANIC|PEARS OTHER ORGANIC|PEARS RED ORGANIC|PEPPERS ALL OTHERS ORGANIC|PEPPERS GREEN BELL ORGANIC|PEPPERS OTHER BELL ORGANIC|PEPPERS RED BELL ORGANIC|PEPPERS YELLOW BELL ORGANIC|ORGANICS|POTATOES GOURMET ORGANIC|POTATOES OTHER ORGANIC|POTATOES RED (BULK&BAG) ORGANIC|POTATOES RUSSET (BULK&BAG) ORGANIC|POTATOES SWEET ORGANIC,52
