segmentation,commodities,sub_commodities,weeks
Asian Cuisine,ASIAN FOODS|FROZEN AUTHENTIC ASIAN|FROZEN AUTHENTIC INDIAN|INDIAN FOODS|NF NATURAL ASIAN FOODS|REFRIGERATED ASIAN,,52
Fitness Enthusiast,ATHLETICS|EXERCISE|SPORTS NUTRITION|WOMENS ATHLETIC|JR SPORTWEAR TOPS|CHILDRENS ATHLETIC,PERSONALITY/LIFESTYLE - MAGAZINES|PERSONALITY/LIFESTYLE - MAGAZI|MENS-MAGAZINE|WOMENS - MAGAZINE,52
Hispanic Cuisine,AUTH CENTRAL AMER FOODS|AUTHENTIC HISPANIC FDS&PRODUCT|FROZEN HISPANIC|MEXICAN TORTILLA/WRAP/TOSTADA|NF MEXICAN PRODUCTS|REFRIGERATED HISPANIC GROCERY|TRADITIONAL MEXICAN FOODS,HISPANIC BEER,52
Outdoor Décor + Gardening,BIRD/SQRL|DECORATIVE GARDEN|FERNS (OUTDOOR)|FERTILIZERS|FOLIAGE (OUTDOOR)|GARDEN BAGGED GOODS|HANGING BASKETS (OUTDOOR)|HARD GOODS (OUTDOOR)|HARDY MUMS (OUTDOOR)|OUTDOOR LIVING|PERENNIALS (OUTDOOR)|PLANT CARE&SOIL (OUTDOOR)|PLANTERS/ACCESSORIES|SEED/BULBS (OUTDOOR)|TREES/SHRUBS (OUTDOOR)|WATERING|YARD DECOR|ANNUALS (OUTDOOR),,52
Indoor Décor + Gardening,EASTER LILY|FLORAL - FOLIAGE PLANTS|FLORAL - FLOWING PLANTS|ORCHIDS POTTED|POINSETTIA|POTTED BULBS (INDOOR),,52
Reader,BOOKSTORE|MAGAZINES|NEWSPAPER,,52
Camper,CAMPING|FISHING|HUNTING,OUTDOORS-MAGAZINE,52
Summer BBQ,GRILLS,CHARCOAL,52
Christmas,CHRISTMAS|CHRISTMAS TREES (OUTDOOR)|CHRISTMAS GREENS (OUTDOOR),CHRISTMAS PLUSH,52
Smokers,CIGARETTES|CIGARS|ELECTRONIC CIGARETTES|LEAF TOBACCO|LITTLE CIGARS|MOIST SNUFF|PIPE TOBACCO|SMOKING TOBACCO,,52
Artsy Folk,CRAFTS/NOTIONS/YARN,RECREATION/HOBBY - MAGAZINES|HOME/CRAFTS - MAGAZINES,52
Halloweeners,HALLOWEEN,HALLOWEEN PLUSH,52
Bug Phobes,INSECTICIDES,,52
Back-to-School,SCHOOL,,52
Sexual Health,SEXUAL HEALTH & WELLNESS,,52
Easter,EASTER,EASTER PLUSH,52
Pizza Meal Households,FROZEN PIZZA|NF FROZEN PIZZA|READY TO HEAT PIZZA|NF PIZZA SAUCE/CRUST MIX|PIZZA SAUCE/CRUST/MIX,,52
Convenient Breakfast,CNV BREAKFAST&WHOLESOME SNKS|NF CEREAL BARS,INSTANT BREAKFAST|INSTANT OATMEAL,52
Breakfast Buyers,REF BREAKFAST|BREAKFAST SAUSAGE|NF FROZEN BREAKFAST|FROZEN BREAKFAST FOODS|CEREALS|COLD CEREAL|NF CEREALS,GRITS|STANDARD OATMEAL|OTHER HOT CEREAL,52
Salty Snackers,BAG SNACKS|SNACKS|SS/VENDING - SALTY SNACKS|TRAIL MIX & SNACKS|WAREHOUSE SNACKS|NF SNACK,,52
Meat Snackers,MEAT SNACKS|SNACK MEAT,,52
Fruit and Natural Snackers,FRUIT SNACKS|NF FRUIT SNACKS|NF PACKAGED NATURAL SNACK,,52
Beveragist,SINGLE SERVE BEVERAGE|SOFT DRINKS|SPECIALTY SOFT DRINKS,,52
Natural Beveragist,NF REFRIG FUNCTIONAL BEV,,52
Beverage Enchancers,BEVERAGE ENHANCERS,,52
Energy Beveragist,ENERGY DRINKS|NF ENERGY DRINKS,ENERGY DRINKS,52
Juicing Beveragust,FROZEN JUICE|REFRGRATD JUICES/DRINKS|SHELF STABLE JUICE|NF JUICE,,52
Isotonic Beveragist,ISOTONIC DRINKS,FITNESS ISOTONIC DRINKS,52
Houses With Children,CHILDRENS ATHLETIC|CHILDRENS CASUALS|KIDS BATH SHOP|SEASONAL KIDS,CHILDRENS LOW END|CHILDRENS QUALITY|CHILDRENS VALUE|CHILDREN S ACTIVITY|CHILDREN'S ACTIVITY|CHILDRENS RAINBOOTS|CHILDRENS SANDAL 11-4|CHILDRENS NIKE|CHILDRENS UA|CHILDRENS SKECHERS|NUT SUPP-CHILDREN|TEENS/CHILDREN - MAGAZINES|KIDS MILK DRINKS-ASEPTIC|FZ KIDS MEAL|KIDS|KIDS FLIP FLOPS|KIDS BEDDINGS|SUNGLASSES KIDS|KIDS YOGURT|NAT/ORGNC KIDS YOGURT,52
Houses With Toddlers,TODDLER/BOYS|TODDLER/GIRLS,TRAINING PANTS|YOUTH PANTS|TODDLER BOY SLEEPWEAR|TODDLER GIRL SLEEPWEAR|TODDLER WIPES,52
Premium Unleaded Car Owners,,GASOLINE-PREMIUM UNLEADED,52
Regular Unleaded Car Owners,,GASOLINE-REG UNLEADED,52
Unleaded Plus Car Owners,,GASOLINE-UNLEADED PLUS,52
Beautists,BEAUTY MINIS|MULTI-CULTURAL HEALTH & BEAUTY|NF COSMETICS|NAILCARE/LASH/COTTON|COLOR COSMETICS|HAIR COLOR AND DEVELOPERS,BEAUTY SUPPLEMENTS|NF COLLAGEN/BEAUTY,52
Geriatric,ADULT INCONTINENCE|ADULT NUTRITION,,52
